id,url,label,title,created_time,last_activity_date
72146421,https://stackoverflow.com/questions/72146421/attributeerror-mapdataset-object-has-no-attribute-client-ids-in-tensorflow,"['python', 'tensorflow', 'google-colaboratory', 'tensorflow-federated', 'federated-learning']",AttributeError: &#39;MapDataset&#39; object has no attribute &#39;client_ids&#39; in tensorflow_federated TFF,2022-05-07 03:19:03,2022-05-07 20:33:16
72241747,https://stackoverflow.com/questions/72241747/how-to-add-noise-differential-privacy-to-clients-weights-in-federal-learning,"['python', 'tensorflow', 'tensorflow-federated']",How to add noise (differential privacy) to clients weights in federal learning?,2022-05-14 23:41:10,2022-05-23 17:41:25
72263736,https://stackoverflow.com/questions/72263736/cant-to-install-tensorflow-federated,"['python', 'tensorflow', 'google-colaboratory', 'tensorflow-federated', 'federated-learning']",Cant to install tensorflow_federated,2022-05-17 02:08:34,2022-05-21 08:40:43
72467705,https://stackoverflow.com/questions/72467705/unbalanced-client-size-in-federated-learning,"['tensorflow', 'tensorflow-federated', 'federated-learning']",Unbalanced client size in federated learning,2022-06-02 04:29:02,2022-06-04 02:30:19
64050391,https://stackoverflow.com/questions/64050391/how-data-and-target-are-choosen-in-a-federated-learning-pysyft,"['python', 'pytorch', 'federated-learning', 'pysyft']",how &quot;data&quot; and &quot;target&quot; are choosen in a federated learning? (PySyft),2020-09-25 00:15:18,2021-04-01 03:11:42
72792770,https://stackoverflow.com/questions/72792770/how-to-save-weights-in-tensorflow-federated,"['python', 'tensorflow', 'tensorflow-federated', 'federated-learning']",How to save weights in tensorflow federated,2022-06-29 04:26:13,2022-07-07 12:57:39
72713816,https://stackoverflow.com/questions/72713816/is-it-against-privacy-of-clients-if-i-have-a-global-tokenizer-in-federated-learn,"['tensorflow', 'nlp', 'tensorflow-federated', 'federated-learning']",Is it against privacy of clients if I have a global tokenizer in Federated Learning (TFF)?,2022-06-22 18:27:40,2022-07-16 09:54:25
72652038,https://stackoverflow.com/questions/72652038/why-cant-i-see-the-local-epochs-output-when-training-tensorflow-federated-learn,"['python-3.x', 'tensorflow2.0', 'tensorflow-federated', 'federated-learning']",Why can&#39;t I see the local epochs output when training tensorflow federated learning model?,2022-06-17 05:24:08,2022-07-14 21:25:52
72556795,https://stackoverflow.com/questions/72556795/how-to-access-labels-with-tff,"['python-3.x', 'tensorflow', 'tensorflow-federated', 'federated-learning', 'federated']",How to access labels with TFF,2022-06-09 16:09:09,2022-06-10 20:37:58
72076723,https://stackoverflow.com/questions/72076723/attributeerror-mapdataset-object-has-no-attribute-preprocess-in-tensorflow,"['python', 'tensorflow', 'google-colaboratory', 'tensorflow-federated', 'federated-learning']",AttributeError: &#39;MapDataset&#39; object has no attribute &#39;preprocess&#39; in tensorflow_federated tff,2022-05-01 20:30:14,2022-05-01 22:48:37
71630891,https://stackoverflow.com/questions/71630891/mismatched-number-of-elements-between-type-spec-and-value-in-to-representation,"['python', 'tensorflow-federated', 'federated-learning']","Mismatched number of elements between type spec and value in `to_representation_for_type`. Type spec has 2 elements, value has 5",2022-03-27 02:48:35,2022-03-28 12:33:39
71209010,https://stackoverflow.com/questions/71209010/mnist-shard-descriptor-indexerror-list-index-out-of-range,"['deep-learning', 'sharding', 'mnist', 'federated-learning']",MNIST Shard Descriptor: IndexError: list index out of range,2022-02-21 23:34:31,2022-03-01 16:01:58
70990386,https://stackoverflow.com/questions/70990386/how-to-flatten-test-image-dataset-and-create-a-batch-of-tuple-of-flattened-imag,"['python', 'tensorflow', 'jupyter-notebook', 'tensorflow-datasets', 'federated-learning']","How to flatten test image dataset and create a batch of tuple of (flattened image , labels)?",2022-02-05 01:21:53,2022-02-05 02:21:01
70825390,https://stackoverflow.com/questions/70825390/limited-number-of-clients-used-in-federated-learning,"['tensorflow-federated', 'federated', 'federated-learning']",Limited number of clients used in federated learning,2022-01-24 02:40:06,2022-02-06 12:37:43
70338012,https://stackoverflow.com/questions/70338012/running-out-of-ram-using-fileperuserclientdata,"['tensorflow-datasets', 'tensorflow-federated', 'federated-learning']",Running Out of RAM using FilePerUserClientData,2021-12-14 00:42:47,2022-01-01 01:30:15
69596586,https://stackoverflow.com/questions/69596586/how-to-change-the-update-that-the-client-send-to-the-server-tensorflow-federated,"['python', 'tensorflow', 'tensorflow-federated', 'federated-learning']",How to change the update that the client send to the server Tensorflow Federated,2021-10-16 22:39:05,2021-10-19 16:38:38
68691256,https://stackoverflow.com/questions/68691256/attributeerror-module-tensorflow-privacy-has-no-attribute-dpquery,"['tensorflow', 'google-colaboratory', 'attributeerror', 'tensorflow-federated', 'federated-learning']",AttributeError: module &#39;tensorflow_privacy&#39; has no attribute &#39;DPQuery&#39;,2021-08-07 17:53:15,2021-08-07 20:15:56
67634399,https://stackoverflow.com/questions/67634399/in-fl-can-clients-train-different-model-architectures,"['tensorflow-federated', 'federated-learning']","In FL, can clients train different model architectures?",2021-05-21 17:40:09,2021-05-21 21:07:34
