framework,url,created_time,closed_time,lifecycle
FATE,https://github.com/FederatedAI/FATE/issues/887,2019-12-25 06:27:07,2020-02-13 10:09:30,"50 days, 3:42:23"
FATE,https://github.com/FederatedAI/FATE/issues/872,2019-12-23 03:41:33,2020-02-17 04:05:16,"56 days, 0:23:43"
FATE,https://github.com/FederatedAI/FATE/issues/869,2019-12-19 13:07:09,2020-02-17 03:49:21,"59 days, 14:42:12"
FATE,https://github.com/FederatedAI/FATE/issues/777,2019-11-13 07:16:03,2019-11-15 03:15:23,"1 day, 19:59:20"
FATE,https://github.com/FederatedAI/FATE/issues/733,2019-10-29 12:17:15,2019-11-05 06:24:28,"6 days, 18:07:13"
FATE,https://github.com/FederatedAI/FATE/issues/701,2019-10-21 10:52:01,2019-10-21 10:54:43,0:02:42
FATE,https://github.com/FederatedAI/FATE/issues/700,2019-10-21 10:05:25,2019-10-21 10:06:01,0:00:36
FATE,https://github.com/FederatedAI/FATE/issues/697,2019-10-21 09:52:30,2019-10-21 09:53:14,0:00:44
FATE,https://github.com/FederatedAI/FATE/issues/695,2019-10-21 09:50:38,2019-11-04 11:20:40,"14 days, 1:30:02"
FATE,https://github.com/FederatedAI/FATE/issues/646,2019-10-10 07:42:23,2019-10-10 10:23:59,2:41:36
FATE,https://github.com/FederatedAI/FATE/issues/632,2019-09-27 04:06:24,2019-09-28 01:04:49,20:58:25
FATE,https://github.com/FederatedAI/FATE/issues/625,2019-09-26 02:15:54,2019-11-05 06:32:34,"40 days, 4:16:40"
FATE,https://github.com/FederatedAI/FATE/issues/566,2019-09-09 07:21:37,2019-11-04 11:27:03,"56 days, 4:05:26"
FATE,https://github.com/FederatedAI/FATE/issues/549,2019-09-05 08:50:04,2019-11-05 06:30:49,"60 days, 21:40:45"
FATE,https://github.com/FederatedAI/FATE/issues/540,2019-09-04 09:49:39,2019-09-16 02:59:49,"11 days, 17:10:10"
FATE,https://github.com/FederatedAI/FATE/issues/518,2019-08-29 16:35:51,2019-09-05 12:23:13,"6 days, 19:47:22"
FATE,https://github.com/FederatedAI/FATE/issues/390,2019-08-08 01:55:27,2019-08-22 09:55:57,"14 days, 8:00:30"
FATE,https://github.com/FederatedAI/FATE/issues/313,2019-07-23 06:40:31,2019-07-23 08:06:20,1:25:49
FATE,https://github.com/FederatedAI/FATE/issues/230,2019-06-16 10:23:19,2019-08-22 09:48:09,"66 days, 23:24:50"
FATE,https://github.com/FederatedAI/FATE/issues/229,2019-06-14 08:06:00,2019-06-18 07:15:17,"3 days, 23:09:17"
FATE,https://github.com/FederatedAI/FATE/issues/182,2019-05-25 13:14:13,2019-05-27 04:36:40,"1 day, 15:22:27"
FATE,https://github.com/FederatedAI/FATE/issues/170,2019-05-22 08:46:33,2019-05-22 08:52:19,0:05:46
FATE,https://github.com/FederatedAI/FATE/issues/135,2019-04-29 09:49:50,2019-04-29 14:48:20,4:58:30
FATE,https://github.com/FederatedAI/FATE/issues/101,2019-04-13 09:06:25,2019-04-13 11:51:27,2:45:02
FATE,https://github.com/FederatedAI/FATE/issues/93,2019-04-12 02:51:15,2019-04-13 05:07:32,"1 day, 2:16:17"
FATE,https://github.com/FederatedAI/FATE/issues/77,2019-04-04 11:45:50,2019-04-13 11:54:35,"9 days, 0:08:45"
FATE,https://github.com/FederatedAI/FATE/issues/55,2019-03-28 08:16:18,2019-03-29 03:18:41,19:02:23
FATE,https://github.com/FederatedAI/FATE/issues/43,2019-03-22 03:54:10,2019-11-05 06:12:29,"228 days, 2:18:19"
FATE,https://github.com/FederatedAI/FATE/issues/27,2019-03-12 09:18:38,2019-04-03 04:07:19,"21 days, 18:48:41"
TFF,https://github.com/tensorflow/federated/issues/3035,2022-07-05 19:32:24,2022-07-08 19:59:36,"3 days, 0:27:12"
TFF,https://github.com/tensorflow/federated/issues/2768,2022-04-29 03:02:22,2022-06-03 03:47:55,"35 days, 0:45:33"
TFF,https://github.com/tensorflow/federated/issues/2659,2022-03-18 14:49:09,2022-04-04 15:13:33,"17 days, 0:24:24"
TFF,https://github.com/tensorflow/federated/issues/1811,2021-09-13 13:41:28,2021-09-14 18:38:09,"1 day, 4:56:41"
TFF,https://github.com/tensorflow/federated/issues/1570,2021-07-08 02:04:12,2021-07-22 01:14:13,"13 days, 23:10:01"
TFF,https://github.com/tensorflow/federated/issues/1245,2021-03-17 16:12:28,2021-04-09 17:25:36,"23 days, 1:13:08"
TFF,https://github.com/tensorflow/federated/issues/929,2020-11-28 10:28:01,2020-11-30 15:00:34,"2 days, 4:32:33"
TFF,https://github.com/tensorflow/federated/issues/928,2020-11-28 07:56:02,2021-03-31 15:18:56,"123 days, 7:22:54"
TFF,https://github.com/tensorflow/federated/issues/902,2020-09-07 13:11:28,2020-10-29 05:08:07,"51 days, 15:56:39"
TFF,https://github.com/tensorflow/federated/issues/897,2020-09-02 23:22:50,2021-02-17 15:55:35,"167 days, 16:32:45"
TFF,https://github.com/tensorflow/federated/issues/896,2020-09-02 23:17:28,2021-02-20 15:59:19,"170 days, 16:41:51"
TFF,https://github.com/tensorflow/federated/issues/895,2020-08-31 08:47:27,2020-09-02 00:19:06,"1 day, 15:31:39"
TFF,https://github.com/tensorflow/federated/issues/892,2020-08-13 01:53:39,2020-08-16 08:36:49,"3 days, 6:43:10"
TFF,https://github.com/tensorflow/federated/issues/884,2020-07-27 15:55:54,2020-07-30 03:42:14,"2 days, 11:46:20"
TFF,https://github.com/tensorflow/federated/issues/876,2020-07-02 20:20:22,2020-07-03 07:47:34,11:27:12
TFF,https://github.com/tensorflow/federated/issues/860,2020-06-01 09:42:02,2020-06-03 07:52:40,"1 day, 22:10:38"
TFF,https://github.com/tensorflow/federated/issues/820,2020-04-03 15:34:32,2020-04-25 04:29:19,"21 days, 12:54:47"
TFF,https://github.com/tensorflow/federated/issues/751,2019-08-22 20:52:07,2019-12-01 19:58:34,"100 days, 23:06:27"
TFF,https://github.com/tensorflow/federated/issues/611,2019-06-25 16:24:34,2019-06-25 16:52:03,0:27:29
TFF,https://github.com/tensorflow/federated/issues/609,2019-06-25 10:08:11,2019-06-25 16:51:11,6:43:00
TFF,https://github.com/tensorflow/federated/issues/416,2019-05-12 01:49:41,2019-05-15 17:09:54,"3 days, 15:20:13"
Others,https://github.com/adap/flower/issues/888,2021-10-21 11:53:13,2021-10-22 09:03:00,21:09:47
Others,https://github.com/adap/flower/issues/807,2021-08-02 13:12:55,2021-08-24 13:39:31,"22 days, 0:26:36"
Others,https://github.com/adap/flower/issues/756,2021-06-10 10:33:55,2021-06-11 07:31:16,20:57:21
Others,https://github.com/adap/flower/issues/710,2021-05-05 14:45:36,2021-05-11 13:24:18,"5 days, 22:38:42"
Others,https://github.com/adap/flower/issues/659,2021-03-03 16:20:12,2021-08-15 12:01:34,"164 days, 19:41:22"
Others,https://github.com/adap/flower/issues/540,2020-12-23 08:45:41,2021-01-06 09:37:37,"14 days, 0:51:56"
Others,https://github.com/adap/flower/issues/537,2020-12-17 07:07:00,2020-12-17 09:12:56,2:05:56
Others,https://github.com/adap/flower/issues/408,2020-09-29 13:11:20,2020-11-09 11:28:22,"40 days, 22:17:02"
Others,https://github.com/PaddlePaddle/PaddleFL/issues/85,2020-06-19 08:04:03,2020-10-16 06:06:49,"118 days, 22:02:46"
Others,https://github.com/PaddlePaddle/PaddleFL/issues/80,2020-05-25 08:10:30,2020-06-11 03:26:41,"16 days, 19:16:11"
Others,https://github.com/bytedance/fedlearner/issues/402,2020-11-04 07:28:21,2020-11-26 04:53:06,"21 days, 21:24:45"
Others,https://github.com/bytedance/fedlearner/issues/395,2020-11-01 16:03:09,2020-11-20 08:47:08,"18 days, 16:43:59"
